# Temperatura_=_18.666145833333335
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136118.12398881317
# Promedio de 192 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.151511e-09	-7.253272e-10	-3.843463e+01	-1.975296e+02
1.000000e-08	-7.151373e-09	-7.252470e-10	-3.843394e+01	-1.974823e+02
2.000000e-08	-7.150708e-09	-7.254091e-10	-3.843045e+01	-1.974228e+02
3.000000e-08	-7.149447e-09	-7.255534e-10	-3.842373e+01	-1.973519e+02
4.000000e-08	-7.147716e-09	-7.255586e-10	-3.841449e+01	-1.972704e+02
5.000000e-08	-7.145546e-09	-7.255784e-10	-3.840290e+01	-1.971794e+02
6.000000e-08	-7.142883e-09	-7.255585e-10	-3.838865e+01	-1.970797e+02
7.000000e-08	-7.139776e-09	-7.254317e-10	-3.837200e+01	-1.969724e+02
8.000000e-08	-7.136156e-09	-7.261301e-10	-3.835263e+01	-1.968586e+02
9.000000e-08	-7.131701e-09	-7.253543e-10	-3.832882e+01	-1.967392e+02
1.000000e-07	-7.126130e-09	-7.194685e-10	-3.829903e+01	-1.966156e+02
1.100000e-07	-7.119640e-09	-7.153164e-10	-3.826421e+01	-1.964887e+02
1.200000e-07	-7.112979e-09	-7.224102e-10	-3.822838e+01	-1.963597e+02
1.300000e-07	-7.106354e-09	-7.302066e-10	-3.819279e+01	-1.962296e+02
1.400000e-07	-7.099184e-09	-7.243354e-10	-3.815435e+01	-1.960996e+02
1.500000e-07	-7.091257e-09	-7.164818e-10	-3.811183e+01	-1.959707e+02
1.600000e-07	-7.082938e-09	-7.221176e-10	-3.806714e+01	-1.958438e+02
1.700000e-07	-7.074461e-09	-7.300686e-10	-3.802162e+01	-1.957199e+02
1.800000e-07	-7.065423e-09	-7.246194e-10	-3.797314e+01	-1.955997e+02
1.900000e-07	-7.055664e-09	-7.175238e-10	-3.792077e+01	-1.954839e+02
2.000000e-07	-7.045512e-09	-7.242326e-10	-3.786623e+01	-1.953730e+02
2.100000e-07	-7.035129e-09	-7.306606e-10	-3.781048e+01	-1.952677e+02
2.200000e-07	-7.024103e-09	-7.232609e-10	-3.775132e+01	-1.951681e+02
2.300000e-07	-7.012331e-09	-7.209483e-10	-3.768812e+01	-1.950743e+02
2.400000e-07	-7.000189e-09	-7.302254e-10	-3.762290e+01	-1.949865e+02
2.500000e-07	-6.987623e-09	-7.282160e-10	-3.755544e+01	-1.949043e+02
2.600000e-07	-6.974329e-09	-7.172629e-10	-3.748409e+01	-1.948275e+02
2.700000e-07	-6.960435e-09	-7.199255e-10	-3.740946e+01	-1.947554e+02
2.800000e-07	-6.946206e-09	-7.272883e-10	-3.733304e+01	-1.946874e+02
2.900000e-07	-6.931468e-09	-7.209419e-10	-3.725391e+01	-1.946225e+02
3.000000e-07	-6.916148e-09	-7.184344e-10	-3.717163e+01	-1.945597e+02
3.100000e-07	-6.900428e-09	-7.272789e-10	-3.708717e+01	-1.944977e+02
3.200000e-07	-6.884258e-09	-7.234586e-10	-3.700035e+01	-1.944350e+02
3.300000e-07	-6.867397e-09	-7.121105e-10	-3.690981e+01	-1.943701e+02
3.400000e-07	-6.850035e-09	-7.158164e-10	-3.681654e+01	-1.943014e+02
