# Temperatura_=_2.6961956521739134
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136185.1257677647
# Promedio de 552 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.154380e-09	-8.128268e-10	-3.839480e+01	-2.073525e+02
1.000000e-08	-7.154364e-09	-8.128711e-10	-3.839471e+01	-2.073649e+02
2.000000e-08	-7.153836e-09	-8.136169e-10	-3.839188e+01	-2.073640e+02
3.000000e-08	-7.152712e-09	-8.136504e-10	-3.838585e+01	-2.073501e+02
4.000000e-08	-7.151106e-09	-8.128501e-10	-3.837723e+01	-2.073235e+02
5.000000e-08	-7.149062e-09	-8.125288e-10	-3.836626e+01	-2.072848e+02
6.000000e-08	-7.146525e-09	-8.129037e-10	-3.835264e+01	-2.072344e+02
7.000000e-08	-7.143537e-09	-8.134728e-10	-3.833661e+01	-2.071729e+02
8.000000e-08	-7.140077e-09	-8.147296e-10	-3.831804e+01	-2.071010e+02
9.000000e-08	-7.135876e-09	-8.143157e-10	-3.829549e+01	-2.070194e+02
1.000000e-07	-7.130646e-09	-8.064791e-10	-3.826743e+01	-2.069290e+02
1.100000e-07	-7.124386e-09	-7.992363e-10	-3.823383e+01	-2.068307e+02
1.200000e-07	-7.117675e-09	-8.076833e-10	-3.819782e+01	-2.067254e+02
1.300000e-07	-7.111015e-09	-8.193260e-10	-3.816208e+01	-2.066141e+02
1.400000e-07	-7.104056e-09	-8.128757e-10	-3.812473e+01	-2.064978e+02
1.500000e-07	-7.096373e-09	-8.022865e-10	-3.808350e+01	-2.063776e+02
1.600000e-07	-7.088122e-09	-8.090690e-10	-3.803922e+01	-2.062544e+02
1.700000e-07	-7.079683e-09	-8.198261e-10	-3.799393e+01	-2.061294e+02
1.800000e-07	-7.070857e-09	-8.143704e-10	-3.794656e+01	-2.060035e+02
1.900000e-07	-7.061280e-09	-8.066174e-10	-3.789516e+01	-2.058776e+02
2.000000e-07	-7.051132e-09	-8.132488e-10	-3.784071e+01	-2.057527e+02
2.100000e-07	-7.040746e-09	-8.176644e-10	-3.778497e+01	-2.056294e+02
2.200000e-07	-7.029914e-09	-8.094611e-10	-3.772684e+01	-2.055084e+02
2.300000e-07	-7.018316e-09	-8.099410e-10	-3.766460e+01	-2.053904e+02
2.400000e-07	-7.006219e-09	-8.202583e-10	-3.759967e+01	-2.052755e+02
2.500000e-07	-6.993767e-09	-8.144888e-10	-3.753285e+01	-2.051641e+02
2.600000e-07	-6.980689e-09	-8.008534e-10	-3.746267e+01	-2.050562e+02
2.700000e-07	-6.966917e-09	-8.088842e-10	-3.738875e+01	-2.049516e+02
2.800000e-07	-6.952736e-09	-8.230590e-10	-3.731265e+01	-2.048500e+02
2.900000e-07	-6.938124e-09	-8.178379e-10	-3.723424e+01	-2.047508e+02
3.000000e-07	-6.922923e-09	-8.148990e-10	-3.715266e+01	-2.046533e+02
3.100000e-07	-6.907264e-09	-8.227982e-10	-3.706862e+01	-2.045563e+02
3.200000e-07	-6.891227e-09	-8.152983e-10	-3.698256e+01	-2.044589e+02
3.300000e-07	-6.874558e-09	-8.004619e-10	-3.689310e+01	-2.043595e+02
3.400000e-07	-6.857269e-09	-8.049238e-10	-3.680031e+01	-2.042566e+02
3.500000e-07	-6.839612e-09	-8.124954e-10	-3.670556e+01	-2.041485e+02
3.600000e-07	-6.821527e-09	-8.058887e-10	-3.660850e+01	-2.040333e+02
3.700000e-07	-6.802872e-09	-8.065252e-10	-3.650839e+01	-2.039089e+02
3.800000e-07	-6.783729e-09	-8.159119e-10	-3.640566e+01	-2.037733e+02
3.900000e-07	-6.764015e-09	-8.078386e-10	-3.629986e+01	-2.036241e+02
4.000000e-07	-6.743536e-09	-7.952493e-10	-3.618996e+01	-2.034591e+02
4.100000e-07	-6.722434e-09	-8.004662e-10	-3.607671e+01	-2.032759e+02
4.200000e-07	-6.700905e-09	-8.018933e-10	-3.596117e+01	-2.030723e+02
4.300000e-07	-6.678944e-09	-7.934859e-10	-3.584331e+01	-2.028460e+02
4.400000e-07	-6.656537e-09	-7.999864e-10	-3.572307e+01	-2.025947e+02
4.500000e-07	-6.633668e-09	-8.080900e-10	-3.560034e+01	-2.023163e+02
4.600000e-07	-6.610225e-09	-8.006682e-10	-3.547453e+01	-2.020088e+02
4.700000e-07	-6.586256e-09	-8.000603e-10	-3.534589e+01	-2.016703e+02
4.800000e-07	-6.561868e-09	-8.059616e-10	-3.521501e+01	-2.012992e+02
4.900000e-07	-6.537055e-09	-7.967007e-10	-3.508185e+01	-2.008938e+02
5.000000e-07	-6.511787e-09	-7.889697e-10	-3.494625e+01	-2.004530e+02
5.100000e-07	-6.486088e-09	-7.939787e-10	-3.480833e+01	-1.999756e+02
5.200000e-07	-6.459860e-09	-7.892613e-10	-3.466758e+01	-1.994609e+02
5.300000e-07	-6.433039e-09	-7.799402e-10	-3.452364e+01	-1.989082e+02
5.400000e-07	-6.405740e-09	-7.818958e-10	-3.437713e+01	-1.983172e+02
5.500000e-07	-6.378028e-09	-7.788032e-10	-3.422841e+01	-1.976880e+02
